"","input","filtered","denoised","merged","tabled","nonchim"
"GSF856-Dugas-100-1191-USA",118463,53854,53854,0,0,0
"GSF856-Dugas-101-QH2O",135687,29101,29101,23,23,23
"GSF856-Dugas-10-3050-Ghana",110188,51819,51819,0,0,0
"GSF856-Dugas-11-3061-Ghana",123699,58406,58406,4,4,4
"GSF856-Dugas-12-3093-Ghana",129788,60486,60486,0,0,0
"GSF856-Dugas-1-3038-Ghana",116591,53017,53017,4,4,4
"GSF856-Dugas-13-1361-USA",105376,49470,49470,0,0,0
"GSF856-Dugas-14-1347-USA",113341,54000,54000,0,0,0
"GSF856-Dugas-15-1344-USA",98318,45457,45457,0,0,0
"GSF856-Dugas-16-1339-USA",104554,47876,47876,0,0,0
"GSF856-Dugas-17-1335-USA",65778,21459,21459,0,0,0
"GSF856-Dugas-18-1327-USA",116095,53982,53982,0,0,0
"GSF856-Dugas-19-1302-USA",102239,47843,47843,3,3,3
"GSF856-Dugas-20-1431-USA",90803,42446,42446,32,32,30
"GSF856-Dugas-21-1430-USA",108398,50594,50594,0,0,0
"GSF856-Dugas-22-1420-USA",105515,48249,48249,0,0,0
"GSF856-Dugas-2-3045-Ghana",116838,53109,53109,5,5,5
"GSF856-Dugas-23-1393-USA",106549,50016,50016,0,0,0
"GSF856-Dugas-24-1368-USA",133184,62099,62099,0,0,0
"GSF856-Dugas-25-1380-USA",95922,45258,45258,0,0,0
"GSF856-Dugas-26-3020-Ghana",109498,50569,50569,2,2,2
"GSF856-Dugas-27-3039-Ghana",115249,52272,52272,9,9,9
"GSF856-Dugas-28-3055-Ghana",90803,41142,41142,0,0,0
"GSF856-Dugas-29-3082-Ghana",121544,55622,55622,0,0,0
"GSF856-Dugas-30-3094-Ghana",133000,62671,62671,0,0,0
"GSF856-Dugas-31-3098-Ghana",121720,57645,57645,0,0,0
"GSF856-Dugas-3-1501-Ghana",99301,47232,47232,0,0,0
"GSF856-Dugas-32-3108-Ghana",122047,58109,58109,2,2,2
"GSF856-Dugas-33-3112-Ghana",108159,49611,49611,6,6,6
"GSF856-Dugas-34-3115-Ghana",131800,60238,60238,0,0,0
"GSF856-Dugas-35-3148-Ghana",118655,54150,54150,0,0,0
"GSF856-Dugas-36-3149-Ghana",110589,52052,52052,17,17,17
"GSF856-Dugas-37-3150-Ghana",148697,65249,65249,0,0,0
"GSF856-Dugas-38-3166-Ghana",103223,48115,48115,0,0,0
"GSF856-Dugas-39-3168-Ghana",113305,55588,55588,0,0,0
"GSF856-Dugas-40-3169-Ghana",113559,53060,53060,9,9,9
"GSF856-Dugas-41-3183-Ghana",115850,54736,54736,4,4,4
"GSF856-Dugas-42-3199-Ghana",112759,53213,53213,0,0,0
"GSF856-Dugas-4-3002-Ghana",124726,58725,58725,0,0,0
"GSF856-Dugas-43-3205-Ghana",106858,48770,48770,0,0,0
"GSF856-Dugas-44-3211-Ghana",97671,45632,45632,0,0,0
"GSF856-Dugas-45-3225-Ghana",120432,56258,56258,0,0,0
"GSF856-Dugas-46-3235-Ghana",98343,46959,46959,0,0,0
"GSF856-Dugas-47-3257-Ghana",99935,43005,43005,4,4,4
"GSF856-Dugas-48-3281-Ghana",126609,59249,59249,0,0,0
"GSF856-Dugas-50-3316-Ghana",106182,52714,52714,0,0,0
"GSF856-Dugas-51-3119-Ghana",107312,50428,50428,0,0,0
"GSF856-Dugas-5-1398-USA",509,221,221,0,0,0
"GSF856-Dugas-52-3136-Ghana",120152,55991,55991,6,6,6
"GSF856-Dugas-53-3176-Ghana",121754,56985,56985,8,8,8
"GSF856-Dugas-54-3214-Ghana",136200,63939,63939,0,0,0
"GSF856-Dugas-55-3295-Ghana",117250,55094,55094,0,0,0
"GSF856-Dugas-56-3320-Ghana",126446,59017,59017,0,0,0
"GSF856-Dugas-57-3324-Ghana",113704,52239,52239,0,0,0
"GSF856-Dugas-58-3331-Ghana",95150,43743,43743,0,0,0
"GSF856-Dugas-59-3361-Ghana",126195,60248,60248,0,0,0
"GSF856-Dugas-60-3471-Ghana",106081,52764,52764,0,0,0
"GSF856-Dugas-61-1027-USA",99752,46845,46845,3,3,3
"GSF856-Dugas-6-1399-USA",119819,56555,56555,0,0,0
"GSF856-Dugas-62-1025-USA",120743,58469,58469,0,0,0
"GSF856-Dugas-63-1061-USA",94944,43507,43507,0,0,0
"GSF856-Dugas-64-1090-USA",107467,52446,52446,3,3,3
"GSF856-Dugas-65-1072-USA",100192,47758,47758,0,0,0
"GSF856-Dugas-66-3338-Ghana",119122,55978,55978,0,0,0
"GSF856-Dugas-67-3349-Ghana",114928,52593,52593,0,0,0
"GSF856-Dugas-68-3351-Ghana",116077,53678,53678,0,0,0
"GSF856-Dugas-69-3358-Ghana",123308,57623,57623,0,0,0
"GSF856-Dugas-70-3362-Ghana",125676,58467,58467,0,0,0
"GSF856-Dugas-71-3372-Ghana",243534,109476,109476,0,0,0
"GSF856-Dugas-7-1436-USA",111043,50266,50266,0,0,0
"GSF856-Dugas-72-3439-Ghana",109988,48911,48911,0,0,0
"GSF856-Dugas-73-3444-Ghana",94818,43885,43885,0,0,0
"GSF856-Dugas-74-3458-Ghana",114231,51759,51759,0,0,0
"GSF856-Dugas-75-1299-USA",94966,44250,44250,0,0,0
"GSF856-Dugas-76-1051-USA",116653,35851,35851,0,0,0
"GSF856-Dugas-77-1060-USA",104218,48163,48163,0,0,0
"GSF856-Dugas-78-1089-USA",118159,53950,53950,0,0,0
"GSF856-Dugas-79-1093-USA",95326,45084,45084,5,5,5
"GSF856-Dugas-80-1094-USA",131754,58302,58302,2,2,2
"GSF856-Dugas-81-1096-USA",109086,49799,49799,0,0,0
"GSF856-Dugas-8-1443-USA",119038,55541,55541,0,0,0
"GSF856-Dugas-82-1110-USA",105554,50461,50461,0,0,0
"GSF856-Dugas-83-1112-USA",94041,44514,44514,0,0,0
"GSF856-Dugas-84-1126-USA",770,338,338,0,0,0
"GSF856-Dugas-85-1128-USA",97354,42685,42685,0,0,0
"GSF856-Dugas-86-1132-USA",91663,41402,41402,0,0,0
"GSF856-Dugas-87-1154-USA",112767,51512,51512,0,0,0
"GSF856-Dugas-88-1155-USA",86459,41332,41332,0,0,0
"GSF856-Dugas-89-1161-USA",90190,43437,43437,0,0,0
"GSF856-Dugas-90-1212-USA",93976,43698,43698,0,0,0
"GSF856-Dugas-91-1214-USA",82481,39144,39144,0,0,0
"GSF856-Dugas-9-1448-USA",110059,49540,49540,0,0,0
"GSF856-Dugas-92-1221-USA",79894,36336,36336,0,0,0
"GSF856-Dugas-94-1254-USA",61794,29145,29145,0,0,0
"GSF856-Dugas-95-1268-USA",130477,60595,60595,3,3,3
"GSF856-Dugas-96-1249-USA",125857,58763,58763,12,12,12
"GSF856-Dugas-96-1272-USA",92800,44315,44315,0,0,0
"GSF856-Dugas-97-1274-USA",95611,45192,45192,0,0,0
"GSF856-Dugas-98-1276-USA",118549,57662,57662,0,0,0
"GSF856-Dugas-99-1297-USA",91000,41833,41833,1,1,1
